Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue_USD,Vehicle_Age,Price_Range,Mileage_Range
I3,2019,Middle East,White,Diesel,Automatic,3.3,154794,43222,3332,Low,144015704,5,Mid-Range,Very High
7 Series,2018,Africa,Silver,Electric,Automatic,3.3,20848,32208,6768,Low,217983744,6,Mid-Range,Low
I3,2024,Middle East,Blue,Diesel,Automatic,2.6,90123,32631,9865,High,321904815,0,Mid-Range,Medium
X5,2022,North America,Blue,Diesel,Automatic,2.6,80536,38041,6850,Low,260580850,2,Mid-Range,Medium
X1,2012,Europe,White,Petrol,Automatic,3.7,59782,87868,6839,Low,600929252,12,Premium,Medium
X5,2020,Africa,Black,Electric,Automatic,1.7,192668,53543,6624,Low,354668832,4,Mid-Range,Very High
I8,2011,Africa,White,Diesel,Manual,3.6,173332,109215,7549,High,824464035,13,Luxury,Very High
7 Series,2013,Middle East,Blue,Diesel,Manual,4.0,1079,33466,930,Low,31123380,11,Mid-Range,Low
5 Series,2011,Middle East,Blue,Diesel,Manual,2.7,22038,82640,6746,Low,557489440,13,Premium,Low
X3,2010,North America,Red,Electric,Automatic,2.3,38661,47136,7989,High,376569504,14,Mid-Range,Low
X5,2021,Europe,Grey,Petrol,Automatic,2.2,177893,113753,7481,High,850986193,3,Luxury,Very High
M5,2012,Middle East,Silver,Petrol,Automatic,1.8,195657,75048,983,Low,73772184,12,Premium,Very High
X6,2016,Asia,Black,Hybrid,Manual,1.8,44667,60129,931,Low,55980099,8,Premium,Low
X6,2022,Africa,Grey,Hybrid,Automatic,2.1,149410,116297,9171,High,1066559787,2,Luxury,High
7 Series,2022,Africa,Red,Petrol,Automatic,1.6,150916,40811,8322,High,339629142,2,Mid-Range,Very High
X1,2010,Asia,Blue,Petrol,Manual,2.4,94459,73262,2205,Low,161542710,14,Premium,Medium
X5,2011,Middle East,Silver,Electric,Manual,2.6,161085,98491,121,Low,11917411,13,Premium,Very High
5 Series,2010,Middle East,Grey,Diesel,Automatic,5.0,101204,84929,4381,Low,372073949,14,Premium,High
I3,2017,Asia,White,Diesel,Automatic,5.0,176974,53729,925,Low,49699325,7,Mid-Range,Very High
M3,2014,Europe,Black,Hybrid,Automatic,2.2,93899,47629,4242,Low,202042218,10,Mid-Range,Medium
X5,2017,Africa,Grey,Electric,Manual,2.2,89639,85910,1840,Low,158074400,7,Premium,Medium
I8,2012,Africa,Silver,Petrol,Manual,3.2,5372,105113,9457,High,994053641,12,Luxury,Low
X3,2022,Middle East,White,Diesel,Manual,2.0,192125,65042,3988,Low,259387496,2,Premium,Very High
X3,2021,Africa,Grey,Diesel,Automatic,3.3,182470,38944,3229,Low,125750176,3,Mid-Range,Very High
I3,2016,South America,Blue,Hybrid,Automatic,2.9,170459,48248,618,Low,29817264,8,Mid-Range,Very High
X6,2017,Middle East,White,Petrol,Automatic,2.6,120802,100765,2195,Low,221179175,7,Luxury,High
X6,2024,Africa,White,Hybrid,Automatic,4.4,127612,72760,4381,Low,318761560,0,Premium,High
M5,2015,Europe,Black,Hybrid,Automatic,4.4,43654,37465,3266,Low,122360690,9,Mid-Range,Low
X5,2022,South America,Black,Diesel,Manual,5.0,132497,72678,9132,High,663695496,2,Premium,High
M5,2022,Asia,Black,Diesel,Automatic,2.3,73427,70232,9874,High,693470768,2,Premium,Medium
X6,2016,Asia,Black,Diesel,Automatic,4.6,120281,75297,9027,High,679706019,8,Premium,High
X6,2023,South America,Grey,Hybrid,Manual,3.4,2278,57711,2129,Low,122866719,1,Mid-Range,Low
X6,2021,Africa,Black,Petrol,Manual,3.6,49380,34307,2341,Low,80312687,3,Mid-Range,Low
7 Series,2011,South America,Grey,Petrol,Automatic,4.6,125947,109983,1300,Low,142977900,13,Luxury,High
3 Series,2017,Asia,Black,Petrol,Manual,4.8,190157,76411,1898,Low,145028078,7,Premium,Very High
3 Series,2014,Africa,Grey,Hybrid,Automatic,4.0,161102,32433,6177,Low,200338641,10,Mid-Range,Very High
X5,2016,Asia,Red,Electric,Automatic,2.7,174159,76622,245,Low,18772390,8,Premium,Very High
I3,2010,Asia,Silver,Hybrid,Automatic,3.2,102904,116990,8638,High,1010559620,14,Luxury,High
I3,2014,Europe,Grey,Electric,Manual,3.7,146710,60780,1861,Low,113111580,10,Premium,High
M5,2010,Asia,Black,Petrol,Manual,4.4,3937,47575,6508,Low,309618100,14,Mid-Range,Low
X1,2021,North America,Grey,Diesel,Automatic,3.8,123347,36516,4776,Low,174400416,3,Mid-Range,High
5 Series,2022,Middle East,Black,Diesel,Automatic,2.8,153362,67524,8222,High,555182328,2,Premium,Very High
M3,2017,South America,Silver,Hybrid,Manual,3.0,53385,112291,2782,Low,312393562,7,Luxury,Medium
I8,2024,North America,Blue,Electric,Manual,1.7,170161,56956,688,Low,39185728,0,Mid-Range,Very High
3 Series,2013,Asia,Silver,Hybrid,Manual,4.7,132897,119136,3559,Low,424005024,11,Luxury,High
M3,2013,Europe,Grey,Diesel,Manual,1.8,77927,83106,6865,Low,570522690,11,Premium,Medium
I8,2011,Europe,Black,Petrol,Automatic,3.5,194789,83609,2525,Low,211112725,13,Premium,Very High
X1,2014,South America,Blue,Hybrid,Manual,4.6,182706,46513,4105,Low,190935865,10,Mid-Range,Very High
M5,2010,Africa,Silver,Hybrid,Automatic,3.0,150343,36675,4379,Low,160599825,14,Mid-Range,Very High
X1,2018,Asia,Grey,Electric,Automatic,4.3,140594,62914,9609,High,604540626,6,Premium,High
X3,2014,South America,Grey,Petrol,Manual,4.3,178132,36012,240,Low,8642880,10,Mid-Range,Very High
M3,2015,Middle East,Black,Hybrid,Manual,1.7,179648,40328,4746,Low,191396688,9,Mid-Range,Very High
X5,2011,North America,Red,Diesel,Automatic,2.9,92972,33056,2130,Low,70409280,13,Mid-Range,Medium
X5,2019,North America,Grey,Petrol,Automatic,3.9,175728,45646,699,Low,31906554,5,Mid-Range,Very High
X6,2019,North America,Grey,Diesel,Manual,3.0,178811,66054,5761,Low,380537094,5,Premium,Very High
M3,2010,Asia,Grey,Electric,Manual,3.4,121169,71328,3333,Low,237736224,14,Premium,High
5 Series,2013,North America,Silver,Petrol,Automatic,3.6,40762,118450,1267,Low,150076150,11,Luxury,Low
3 Series,2016,Middle East,Grey,Electric,Manual,2.0,59902,51362,3084,Low,158400408,8,Mid-Range,Medium
X6,2015,Africa,Blue,Hybrid,Automatic,2.9,130959,55045,7034,High,387186530,9,Mid-Range,High
M5,2019,Middle East,Grey,Electric,Automatic,1.6,18734,94650,8876,High,840113400,5,Premium,Low
X3,2010,Europe,Black,Petrol,Automatic,2.0,27817,66780,1300,Low,86814000,14,Premium,Low
X5,2010,South America,Grey,Hybrid,Automatic,3.3,167832,30314,6489,Low,196707546,14,Mid-Range,Very High
X3,2017,North America,White,Hybrid,Automatic,3.5,77380,118432,7507,High,889069024,7,Luxury,Medium
I3,2013,Africa,Silver,Diesel,Manual,2.0,116589,50199,2190,Low,109935810,11,Mid-Range,High
7 Series,2014,North America,Blue,Electric,Manual,4.1,160389,91494,1939,Low,177406866,10,Premium,Very High
3 Series,2022,North America,Blue,Hybrid,Manual,2.8,187886,71882,1617,Low,116233194,2,Premium,Very High
3 Series,2016,Middle East,Black,Electric,Automatic,4.7,184461,72182,1177,Low,84958214,8,Premium,Very High
5 Series,2017,Asia,Black,Electric,Automatic,2.9,185323,92163,8275,High,762648825,7,Premium,Very High
5 Series,2024,Europe,Red,Electric,Manual,2.0,120857,78561,4915,Low,386127315,0,Premium,High
X1,2019,South America,White,Hybrid,Automatic,4.2,75482,53811,2921,Low,157181931,5,Mid-Range,Medium
X6,2016,Middle East,Silver,Diesel,Manual,3.5,162550,46717,9485,High,443110745,8,Mid-Range,Very High
7 Series,2011,Asia,Blue,Diesel,Automatic,2.9,65165,80153,7408,High,593773424,13,Premium,Medium
5 Series,2023,Asia,Blue,Diesel,Manual,2.7,88375,32088,5270,Low,169103760,1,Mid-Range,Medium
X6,2024,Asia,Silver,Hybrid,Automatic,2.0,95594,111824,1085,Low,121329040,0,Luxury,Medium
7 Series,2013,Middle East,Blue,Diesel,Automatic,2.7,977,40427,8561,High,346095547,11,Mid-Range,Low
M5,2019,Middle East,White,Hybrid,Automatic,1.6,182481,34000,6368,Low,216512000,5,Mid-Range,Very High
X1,2021,Asia,Black,Hybrid,Manual,3.3,186573,97693,8417,High,822281981,3,Premium,Very High
5 Series,2010,North America,White,Diesel,Manual,4.6,60543,71883,9344,High,671674752,14,Premium,Medium
X3,2019,Africa,Red,Electric,Automatic,4.3,145080,39616,2036,Low,80658176,5,Mid-Range,High
M3,2018,Europe,Red,Electric,Manual,1.6,11509,56287,9101,High,512267987,6,Mid-Range,Low
M3,2012,Middle East,Grey,Hybrid,Manual,4.6,55110,32014,1542,Low,49365588,12,Mid-Range,Medium
M5,2021,Middle East,Grey,Petrol,Automatic,3.1,31579,33467,6045,Low,202308015,3,Mid-Range,Low
M3,2012,South America,White,Petrol,Automatic,2.2,4356,80393,1239,Low,99606927,12,Premium,Low
X6,2019,Asia,Silver,Hybrid,Automatic,4.1,50279,39970,1599,Low,63912030,5,Mid-Range,Medium
3 Series,2018,North America,Red,Diesel,Manual,2.6,119356,92145,155,Low,14282475,6,Premium,High
M3,2019,North America,Blue,Electric,Automatic,2.4,138239,73855,8482,High,626438110,5,Premium,High
X3,2012,Asia,Red,Electric,Automatic,2.1,27824,49635,3364,Low,166972140,12,Mid-Range,Low
M3,2017,Middle East,Black,Hybrid,Manual,3.2,146382,78843,509,Low,40131087,7,Premium,High
5 Series,2011,North America,Grey,Electric,Automatic,1.8,196912,47724,2194,Low,104706456,13,Mid-Range,Very High
M3,2023,Europe,Grey,Electric,Manual,4.2,73825,113070,6079,Low,687352530,1,Luxury,Medium
7 Series,2022,Asia,White,Diesel,Automatic,3.1,95859,102845,6059,Low,623137855,2,Luxury,Medium
I8,2012,Europe,Grey,Diesel,Automatic,3.1,192656,90028,3078,Low,277106184,12,Premium,Very High
X1,2011,Asia,Grey,Diesel,Automatic,1.5,122940,76157,9544,High,726842408,13,Premium,High
I3,2010,Europe,Black,Diesel,Manual,4.4,170249,74273,5096,Low,378495208,14,Premium,Very High
7 Series,2011,Africa,Silver,Diesel,Automatic,3.2,93089,71476,9092,High,649859792,13,Premium,Medium
7 Series,2017,North America,White,Diesel,Automatic,3.0,82620,48490,5452,Low,264367480,7,Mid-Range,Medium
M5,2018,Asia,Blue,Electric,Automatic,4.2,29105,104553,6328,Low,661611384,6,Luxury,Low
X5,2022,South America,Blue,Hybrid,Manual,1.7,160169,81380,7125,High,579832500,2,Premium,Very High
M5,2011,Middle East,White,Petrol,Automatic,2.8,113242,66557,7461,High,496581777,13,Premium,High
M3,2016,Africa,White,Diesel,Automatic,3.5,17623,104283,7722,High,805273326,8,Luxury,Low
X5,2024,Africa,White,Diesel,Automatic,3.1,46263,92063,7004,High,644809252,0,Premium,Low
3 Series,2014,Asia,Red,Hybrid,Manual,2.1,161396,35191,1784,Low,62780744,10,Mid-Range,Very High
M3,2012,North America,Grey,Hybrid,Manual,2.5,73066,49401,3205,Low,158330205,12,Mid-Range,Medium
5 Series,2018,North America,Black,Electric,Manual,2.6,131163,104650,9543,High,998674950,6,Luxury,High
M3,2024,Africa,Red,Petrol,Automatic,5.0,67777,93594,2279,Low,213300726,0,Premium,Medium
M3,2015,South America,Grey,Diesel,Automatic,2.6,71098,38454,5580,Low,214573320,9,Mid-Range,Medium
I8,2020,Africa,Silver,Petrol,Automatic,2.2,1196,117156,6587,Low,771706572,4,Luxury,Low
3 Series,2010,Middle East,Blue,Petrol,Automatic,4.4,2840,34036,5883,Low,200233788,14,Mid-Range,Low
X6,2014,South America,Silver,Electric,Automatic,3.0,8450,49775,248,Low,12344200,10,Mid-Range,Low
5 Series,2016,Africa,Silver,Petrol,Manual,3.1,45646,81615,2695,Low,219952425,8,Premium,Low
M3,2013,Europe,Black,Diesel,Automatic,3.4,188019,47629,4892,Low,233001068,11,Mid-Range,Very High
X6,2017,Africa,Silver,Petrol,Manual,3.6,152120,108645,2024,Low,219897480,7,Luxury,Very High
3 Series,2019,Europe,Grey,Petrol,Automatic,3.6,100931,42560,8014,High,341075840,5,Mid-Range,High
X1,2014,Asia,Grey,Electric,Manual,1.6,66689,112698,8212,High,925475976,10,Luxury,Medium
I3,2018,South America,Grey,Hybrid,Manual,4.4,184440,105800,4296,Low,454516800,6,Luxury,Very High
7 Series,2018,Middle East,Silver,Diesel,Manual,2.2,138978,94509,8474,High,800869266,6,Premium,High
I3,2018,Europe,Grey,Diesel,Automatic,2.5,92449,47836,2258,Low,108013688,6,Mid-Range,Medium
X3,2010,South America,Silver,Hybrid,Automatic,2.1,177276,79956,2637,Low,210843972,14,Premium,Very High
X3,2011,Asia,Grey,Petrol,Automatic,4.2,33142,92971,8376,High,778725096,13,Premium,Low
I8,2012,Asia,Black,Petrol,Manual,3.5,54842,114195,2792,Low,318832440,12,Luxury,Medium
3 Series,2023,North America,Grey,Hybrid,Manual,4.1,177587,76935,9971,High,767118885,1,Premium,Very High
I8,2013,Europe,Red,Petrol,Automatic,3.8,103664,56095,1143,Low,64116585,11,Mid-Range,High
X1,2019,Europe,White,Electric,Manual,1.9,154125,102873,8414,High,865573422,5,Luxury,Very High
I3,2018,North America,White,Diesel,Manual,2.6,152557,97410,4380,Low,426655800,6,Premium,Very High
X1,2019,Asia,Blue,Petrol,Automatic,3.3,137129,111651,3190,Low,356166690,5,Luxury,High
X6,2022,Asia,Grey,Diesel,Manual,2.6,163312,96113,3686,Low,354272518,2,Premium,Very High
7 Series,2015,North America,White,Petrol,Automatic,2.2,169798,112641,5616,Low,632591856,9,Luxury,Very High
X5,2010,Africa,Black,Electric,Automatic,4.5,156356,40241,4809,Low,193518969,14,Mid-Range,Very High
X3,2021,Middle East,Silver,Electric,Automatic,4.1,29838,39332,9192,High,361539744,3,Mid-Range,Low
X6,2018,South America,Blue,Electric,Manual,2.7,124979,92089,5707,Low,525551923,6,Premium,High
X1,2015,Europe,Blue,Petrol,Automatic,4.2,111343,36688,797,Low,29240336,9,Mid-Range,High
3 Series,2013,Middle East,Red,Diesel,Manual,3.7,162509,30068,4179,Low,125654172,11,Mid-Range,Very High
X3,2023,South America,White,Electric,Automatic,1.5,179684,30109,5963,Low,179539967,1,Mid-Range,Very High
X3,2013,North America,Red,Diesel,Manual,2.8,50978,64408,4462,Low,287388496,11,Premium,Medium
5 Series,2012,Africa,Blue,Electric,Manual,2.5,16188,100370,9473,High,950805010,12,Luxury,Low
3 Series,2016,Middle East,Grey,Electric,Manual,2.3,123760,112455,218,Low,24515190,8,Luxury,High
X5,2012,Asia,Blue,Electric,Automatic,2.4,34168,79617,3019,Low,240363723,12,Premium,Low
I8,2011,South America,Blue,Hybrid,Automatic,4.8,24923,42318,8006,High,338797908,13,Mid-Range,Low
X6,2019,North America,Red,Hybrid,Automatic,3.2,13253,106313,2635,Low,280134755,5,Luxury,Low
X3,2017,Europe,White,Electric,Automatic,4.5,110511,104320,664,Low,69268480,7,Luxury,High
5 Series,2013,South America,White,Petrol,Automatic,2.2,44334,54252,2426,Low,131615352,11,Mid-Range,Low
M5,2017,Africa,Red,Petrol,Automatic,2.1,65735,33036,6833,Low,225734988,7,Mid-Range,Medium
X5,2010,South America,Grey,Hybrid,Manual,4.6,38857,32650,4470,Low,145945500,14,Mid-Range,Low
M5,2024,South America,Black,Hybrid,Automatic,3.2,3373,102935,2252,Low,231809620,0,Luxury,Low
5 Series,2014,Middle East,Red,Petrol,Automatic,4.6,97813,61278,2107,Low,129112746,10,Premium,Medium
X1,2022,South America,White,Petrol,Automatic,1.7,186057,105890,5617,Low,594784130,2,Luxury,Very High
M5,2018,Asia,White,Diesel,Manual,4.7,173138,90330,7259,High,655705470,6,Premium,Very High
X5,2010,Africa,Grey,Diesel,Automatic,3.0,131574,105757,2877,Low,304262889,14,Luxury,High
3 Series,2020,Middle East,Silver,Hybrid,Manual,2.0,100213,80187,7445,High,596992215,4,Premium,High
5 Series,2022,Middle East,White,Diesel,Manual,3.9,189210,118333,7614,High,900987462,2,Luxury,Very High
X5,2013,Africa,Silver,Electric,Automatic,4.3,155409,115764,432,Low,50010048,11,Luxury,Very High
I3,2015,Africa,Grey,Petrol,Automatic,1.7,155005,32142,7044,High,226408248,9,Mid-Range,Very High
X3,2019,Africa,Blue,Diesel,Manual,5.0,99651,89509,520,Low,46544680,5,Premium,Medium
7 Series,2017,South America,Silver,Hybrid,Automatic,3.9,134556,31055,7219,High,224186045,7,Mid-Range,High
M5,2023,Middle East,Blue,Diesel,Automatic,2.6,70786,88328,1790,Low,158107120,1,Premium,Medium
I8,2012,Asia,Red,Electric,Automatic,2.0,134224,62007,4709,Low,291990963,12,Premium,High
X3,2014,North America,White,Electric,Automatic,2.9,192706,72992,6716,Low,490214272,10,Premium,Very High
I8,2016,Asia,White,Petrol,Automatic,2.3,33606,91036,6679,Low,608029444,8,Premium,Low
7 Series,2010,Africa,Silver,Electric,Manual,3.2,191390,86469,3645,Low,315179505,14,Premium,Very High
7 Series,2024,Asia,Black,Diesel,Manual,4.2,3580,110194,4719,Low,520005486,0,Luxury,Low
7 Series,2016,Europe,Black,Diesel,Automatic,3.8,160986,97306,3808,Low,370541248,8,Premium,Very High
X3,2022,Middle East,Blue,Diesel,Automatic,3.0,80357,61198,5450,Low,333529100,2,Premium,Medium
3 Series,2021,Asia,Black,Hybrid,Manual,1.9,123778,98910,5695,Low,563292450,3,Premium,High
X6,2020,South America,Red,Petrol,Automatic,4.9,39697,76880,7068,High,543387840,4,Premium,Low
I8,2017,South America,Grey,Electric,Automatic,2.4,100477,72475,5366,Low,388900850,7,Premium,High
X6,2017,Africa,Grey,Petrol,Manual,2.5,149131,58492,5916,Low,346038672,7,Mid-Range,High
5 Series,2018,South America,Black,Petrol,Automatic,3.8,35878,101728,2421,Low,246283488,6,Luxury,Low
I3,2015,South America,Blue,Diesel,Manual,4.2,101297,80867,2050,Low,165777350,9,Premium,High
M3,2021,Middle East,Red,Electric,Manual,4.9,135869,55148,1574,Low,86802952,3,Mid-Range,High
I8,2015,Europe,Blue,Petrol,Manual,4.9,21933,80912,8877,High,718255824,9,Premium,Low
7 Series,2011,Africa,Grey,Electric,Manual,4.7,182365,76769,6103,Low,468521207,13,Premium,Very High
5 Series,2012,Europe,Red,Hybrid,Automatic,3.0,23092,101481,3852,Low,390904812,12,Luxury,Low
X1,2013,Asia,Red,Hybrid,Automatic,2.1,50539,73740,4579,Low,337655460,11,Premium,Medium
M3,2013,South America,White,Petrol,Automatic,3.5,177118,66041,4229,Low,279287389,11,Premium,Very High
I8,2017,Europe,Grey,Petrol,Automatic,1.6,92112,56287,954,Low,53697798,7,Mid-Range,Medium
5 Series,2023,Africa,Red,Electric,Automatic,2.2,192731,87548,5995,Low,524850260,1,Premium,Very High
3 Series,2010,North America,Red,Diesel,Manual,1.5,127720,59737,6996,Low,417920052,14,Mid-Range,High
X3,2019,Asia,Black,Petrol,Manual,2.1,93444,41121,8312,High,341797752,5,Mid-Range,Medium
M5,2023,Middle East,White,Diesel,Automatic,3.2,168335,37859,5528,Low,209284552,1,Mid-Range,Very High
X5,2013,North America,Grey,Petrol,Automatic,2.9,148569,47387,8717,High,413072479,11,Mid-Range,High
M3,2020,South America,Silver,Electric,Automatic,2.8,132243,76610,8573,High,656777530,4,Premium,High
X3,2021,Asia,White,Petrol,Manual,4.4,135299,110037,9798,High,1078142526,3,Luxury,High
M3,2022,Middle East,Blue,Hybrid,Automatic,3.9,110687,48375,8632,High,417573000,2,Mid-Range,High
I3,2020,Europe,Blue,Diesel,Manual,4.8,33666,60397,7908,High,477619476,4,Premium,Low
M5,2020,North America,Red,Hybrid,Manual,3.1,161468,101033,6754,Low,682376882,4,Luxury,Very High
M5,2013,North America,Grey,Hybrid,Manual,2.5,176756,37889,1769,Low,67025641,11,Mid-Range,Very High
X6,2010,South America,Black,Electric,Automatic,1.9,18802,45457,728,Low,33092696,14,Mid-Range,Low
X3,2012,Africa,Black,Electric,Automatic,3.9,118577,80159,5853,Low,469170627,12,Premium,High
M3,2014,Africa,Silver,Hybrid,Manual,4.4,118199,50029,3487,Low,174451123,10,Mid-Range,High
5 Series,2015,Europe,Red,Petrol,Automatic,2.1,372,48611,3935,Low,191284285,9,Mid-Range,Low
I8,2018,Africa,Blue,Hybrid,Manual,4.6,158939,114475,1123,Low,128555425,6,Luxury,Very High
3 Series,2018,Asia,White,Hybrid,Manual,3.3,66756,80616,4886,Low,393889776,6,Premium,Medium
I8,2018,Africa,Blue,Hybrid,Automatic,2.0,83469,40478,8175,High,330907650,6,Mid-Range,Medium
7 Series,2020,Middle East,Grey,Diesel,Manual,3.8,95945,83819,3964,Low,332258516,4,Premium,Medium
7 Series,2010,Asia,Red,Electric,Automatic,3.3,35627,48706,1344,Low,65460864,14,Mid-Range,Low
X3,2021,Africa,White,Diesel,Manual,1.6,186853,115537,1394,Low,161058578,3,Luxury,Very High
7 Series,2018,Asia,White,Hybrid,Manual,2.9,154286,67169,7346,High,493423474,6,Premium,Very High
X5,2022,South America,Black,Hybrid,Manual,4.2,81147,107626,1757,Low,189098882,2,Luxury,Medium
X5,2017,South America,Black,Petrol,Automatic,3.4,76989,40710,4424,Low,180101040,7,Mid-Range,Medium
7 Series,2011,North America,Black,Petrol,Automatic,2.5,46722,118438,4056,Low,480384528,13,Luxury,Low
X6,2022,Middle East,Silver,Electric,Automatic,4.8,113181,110548,7579,High,837843292,2,Luxury,High
X6,2020,Europe,White,Electric,Automatic,2.3,184695,69367,184,Low,12763528,4,Premium,Very High
M5,2010,North America,White,Hybrid,Automatic,2.4,194147,113622,5625,Low,639123750,14,Luxury,Very High
3 Series,2010,South America,Red,Hybrid,Manual,2.7,75749,114538,4965,Low,568681170,14,Luxury,Medium
3 Series,2021,Europe,Black,Hybrid,Manual,4.6,37433,31514,5036,Low,158704504,3,Mid-Range,Low
3 Series,2015,Europe,Red,Electric,Automatic,3.3,166110,74246,3662,Low,271888852,9,Premium,Very High
5 Series,2018,Europe,Blue,Petrol,Automatic,3.9,137898,64648,2363,Low,152763224,6,Premium,High
I8,2016,Africa,Blue,Hybrid,Manual,4.9,195350,45676,7757,High,354308732,8,Mid-Range,Very High
X1,2014,Middle East,Black,Hybrid,Manual,4.2,82157,50576,494,Low,24984544,10,Mid-Range,Medium
X6,2020,South America,Red,Hybrid,Automatic,2.1,119001,52629,1980,Low,104205420,4,Mid-Range,High
X1,2011,Middle East,Silver,Electric,Manual,4.3,178239,53194,4020,Low,213839880,13,Mid-Range,Very High
M3,2010,Europe,White,Hybrid,Manual,4.1,47290,53303,1947,Low,103780941,14,Mid-Range,Low
5 Series,2011,South America,White,Electric,Automatic,2.3,192049,65391,4094,Low,267710754,13,Premium,Very High
M3,2010,Africa,White,Hybrid,Automatic,2.6,103567,84166,7083,High,596147778,14,Premium,High
3 Series,2012,North America,Red,Electric,Manual,4.0,95568,114519,1257,Low,143950383,12,Luxury,Medium
I3,2015,Africa,Black,Hybrid,Automatic,2.3,29840,72137,6761,Low,487718257,9,Premium,Low
X6,2022,South America,Grey,Electric,Automatic,2.2,155216,30702,1336,Low,41017872,2,Mid-Range,Very High
7 Series,2017,Europe,Black,Diesel,Manual,4.0,147283,45474,4450,Low,202359300,7,Mid-Range,High
M5,2012,South America,Silver,Hybrid,Automatic,4.6,46198,85750,1113,Low,95439750,12,Premium,Low
X1,2019,North America,Black,Hybrid,Automatic,1.8,144803,38434,6522,Low,250666548,5,Mid-Range,High
X3,2018,Europe,White,Diesel,Manual,3.1,134422,62947,6513,Low,409973811,6,Premium,High
X6,2019,South America,Black,Electric,Manual,3.6,41307,51633,1080,Low,55763640,5,Mid-Range,Low
I3,2014,Middle East,Silver,Electric,Automatic,3.9,183769,70617,3941,Low,278301597,10,Premium,Very High
X1,2016,Asia,Blue,Electric,Manual,5.0,45162,62384,9375,High,584850000,8,Premium,Low
X1,2017,Europe,Red,Electric,Manual,3.9,20465,109056,2940,Low,320624640,7,Luxury,Low
5 Series,2012,Europe,Red,Electric,Manual,3.7,18994,70636,1179,Low,83279844,12,Premium,Low
3 Series,2011,Asia,Blue,Petrol,Automatic,5.0,18763,50484,3151,Low,159075084,13,Mid-Range,Low
M5,2011,Africa,Red,Hybrid,Manual,1.7,97616,37382,3492,Low,130537944,13,Mid-Range,Medium
I3,2014,Middle East,Grey,Electric,Automatic,1.8,149416,61321,6052,Low,371114692,10,Premium,High
X1,2024,Africa,White,Petrol,Manual,3.5,39387,110932,9975,High,1106546700,0,Luxury,Low
5 Series,2010,Europe,White,Petrol,Manual,2.8,181642,56436,6129,Low,345896244,14,Mid-Range,Very High
X6,2024,Asia,White,Diesel,Manual,1.8,170981,50659,4891,Low,247773169,0,Mid-Range,Very High
X1,2011,Africa,White,Diesel,Manual,2.6,906,32277,1235,Low,39862095,13,Mid-Range,Low
7 Series,2022,Europe,Red,Electric,Manual,3.9,34766,49080,2701,Low,132565080,2,Mid-Range,Low
3 Series,2018,South America,Silver,Diesel,Manual,4.6,70041,79677,8622,High,686975094,6,Premium,Medium
I3,2016,Asia,White,Petrol,Automatic,1.8,40906,97679,674,Low,65835646,8,Premium,Low
7 Series,2024,Asia,White,Petrol,Manual,3.4,169859,40674,568,Low,23102832,0,Mid-Range,Very High
X3,2024,North America,White,Electric,Automatic,2.5,189129,100633,9490,High,955007170,0,Luxury,Very High
X1,2015,Asia,Grey,Electric,Manual,3.8,165372,87327,4575,Low,399521025,9,Premium,Very High
7 Series,2018,Europe,Silver,Electric,Manual,3.4,45500,85228,9136,High,778643008,6,Premium,Low
I8,2016,South America,Grey,Diesel,Automatic,4.7,193767,65907,5054,Low,333093978,8,Premium,Very High
7 Series,2023,North America,Blue,Petrol,Automatic,1.6,102432,111346,954,Low,106224084,1,Luxury,High
X5,2020,Middle East,Black,Hybrid,Manual,3.1,21114,31003,5788,Low,179445364,4,Mid-Range,Low
5 Series,2014,Asia,Black,Diesel,Manual,2.2,120246,117593,6447,Low,758122071,10,Luxury,High
M5,2024,South America,White,Petrol,Manual,3.4,85699,81108,385,Low,31226580,0,Premium,Medium
5 Series,2018,Asia,Black,Electric,Automatic,4.5,7175,53510,7471,High,399773210,6,Mid-Range,Low
7 Series,2015,Africa,White,Petrol,Manual,4.7,73848,114934,5801,Low,666732134,9,Luxury,Medium
I3,2015,South America,Silver,Diesel,Manual,2.9,108731,45745,8956,High,409692220,9,Mid-Range,High
I8,2020,Middle East,Black,Electric,Automatic,4.3,29357,71347,3068,Low,218892596,4,Premium,Low
7 Series,2013,Asia,Blue,Petrol,Manual,2.5,79425,30457,2866,Low,87289762,11,Mid-Range,Medium
M3,2022,Europe,Silver,Hybrid,Automatic,1.5,161814,65251,6241,Low,407231491,2,Premium,Very High
X6,2021,Asia,Red,Diesel,Manual,4.5,175905,100351,8623,High,865326673,3,Luxury,Very High
5 Series,2010,Europe,Blue,Diesel,Automatic,1.9,94399,56252,2734,Low,153792968,14,Mid-Range,Medium
M5,2014,North America,Black,Hybrid,Manual,1.6,145215,83394,9321,High,777315474,10,Premium,High
M5,2020,Africa,Silver,Electric,Automatic,2.7,107931,49858,4047,Low,201775326,4,Mid-Range,High
7 Series,2018,South America,Silver,Diesel,Automatic,2.8,16004,73051,3832,Low,279931432,6,Premium,Low
X1,2022,Asia,Blue,Electric,Automatic,1.8,2466,67529,5674,Low,383159546,2,Premium,Low
3 Series,2017,South America,Silver,Petrol,Manual,4.3,139400,113687,1253,Low,142449811,7,Luxury,High
3 Series,2017,Africa,White,Electric,Manual,2.9,194293,44740,2602,Low,116413480,7,Mid-Range,Very High
